Name;Supervisor;StProgram;FieldOfStudy;IsFullTimeStudy;IsExternalStudy;ResearchType;Descrition;Created
Vizualizácia hluku a interaktívna optimalizácia  jeho pôsobenia na životné prosteredie;doc. Ing. Peter Fabián, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Negatívny vplyv nadmerného hluku leteckej, cestnej a železničnej doprave na živé organizmy a celkové pôsobenie na životné prostredie je dostatočne známe. Preto sa v rámci projektových tém vypisovaných v rámci programov EÚ trvalo objavujú aj témy spojené s riešením tejto problematiky.  K riešeniu problémov je možné pristupovať a posteriori vyhodnotením konkrétnych hlukových parametrov v blízkosti dopravných zariadení a návrhom príslušných opatrení, alebo a priori pri ich návrhu, výpočtom hlukovej záťaže na základe známych kapacitných parametrov a priestorového riešenia týchto zariadení. V prípade vedomostí o chystaných protihlukových opatrení je možné do takýchto modelov zakomponovať i tieto opatrenia a zistiť vpred ich predpokladanú účinnosť. <br>Metódy vedeckej vizualizácie do značnej miery môžu sprehľadniť tento proces a sprístupniť jeho výsledky ako podklad pre rozhodovanie o vhodných prostriedkoch. Pri nich je možné vhodne využiť fakt, že šírenie hluku je priestorovým fenoménom a pre jeho vuizualizáciu je možné využiť ako podporný prostriedok programové aplikácie geografických informačných systémov (GIS).<br>Pri nájdení vhodnej matematickej reprezentácie protihlukových opatrení by malo byť možné vizualizovať tieto opatrenia.;20.2.2018 9:35
Robustné obehy vozidiel a osádok;doc. RNDr. Štefan Peško, CSc.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum;Problematika  patrí medzi aktuálne úlohy s bohatou tradíciou na FRI UNIZA. Riešitelia pociťujú potrebu venovať viac pozornosti tvorbe robustných obehov vozidiel v sieťach MHD najmä v zápchach dopravných špičiek. Dôsledky nepresných časových údajov majú nielen vplyv na spoľahlivosť spojov v cestovných poriadkoch, ale i tvorbu rozvrhov osádok. Z  historických alebo simulovaných údajov možno získať diskrétne, resp. spojité (intervalové) scenáre a hľadať príslušné spoľahlivé no pritom spravodlivé riešenia.<br>;20.2.2018 10:46
Význam reportovania udržateľného  rozvoja  pre manažment organizácie;doc. Ing. Emese Tokarčíková, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Udržateľný rozvoj je taký spôsob rozvoja spoločnosti, ktorý dáva do súladu ekonomický a spoločenský pokrok so zachovaním životného prostredia. Nové a inovatívne prístupy  a vedomosti v  technológiách, ale aj v manažmente, upriamujú pozornosť na dôležitosť transparentnosti daných vplyvov na rozhodovanie manažérov organizácií vo vzťahu nielen k zainteresovaným osobám. Reporting o udržateľnom rozvoji  (triple bottom line, spoločensky zodpovedné podnikanie - CSR) v každej organizácii (ziskovej a neziskovej) zahrňuje vykazovanie ukazovateľov výkonnosti v jednotlivých oblastiach CSR.  Vyrovnané (aj pozitívne a negatívne vplyvy) a dôveryhodné reportovanie CSR aktivít organizácie umožňuje manažérom tieto informácie využiť na lepšie  rozhodovanie a riadenie svojich aktivít.  <br>Cieľom práce je rozvoj reportovania udržateľného rozvoja tak, aby poskytované relevantné podklady boli v súlade s riadením aktivít CSR  v organizácii. Aplikácia teoretických poznatkov a primárnych výsledkov prieskumov bude slúžiť na tvorbu návrhov adekvátnych metodík alebo metodológie a vhodných modelov v danej oblasti. Návrhy môžu zahŕňať posúdenia systémov na generovanie týchto prehľadov ako i rôznych spôsobov na získanie vhodných informácií pre reportovanie. Výskum práce bude orientovaný na tvorbu záverov z prípadových štúdii konkrétnych organizácií počas viacerých období alebo prieskumov rozličných organizácií. Dôležitá je identifikácia toho, či existujú významné vzájomné väzby reportovania dôsledkov CSR  na zlepšenie rozhodovania manažérov a na vykonávanie aktivít s cieľom dosiahnuť trvalú udržateľnosť. <br>Práca si vyžaduje štúdium rôznych metód, ktoré sa vzťahujú na CSR a BI (Business Intelligence), identifikáciu vhodných ukazovateľov použitých na analýzu a rozhodovanie v danej oblasti,  určenie si podmienok a /alebo cieľov, kedy môžu byť jednotlivé metódy a ukazovatele  uplatnené, komparáciu a popis kontrastu medzi rôznymi dostupnými metodológiami a realizáciu prieskumu v praxi.<br>;20.2.2018 11:17
Využitie neurónovej siete na odhad nemerateľných parametrov monitorovaného systému v prostredí WSN;doc. Ing. Ondrej Karpiš, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;aplikovaný výskum;Pri meraní rôznych parametrov (koncentrácia plynov, hustota dopravného toku atď.) na priestorovo rozsiahlom území sa často využíva bezdrôtová sieť senzorov (WSN). Problémom je, že niekedy nie je možné umiestniť snímač na ľubovoľné miesto v danej lokalite, prípadne dlhodobá prevádzka kritického snímača je z viacerých hľadísk (spotreba energie, ekonomické dôvody) nemožná. Úlohou je dosiahnuť čo najpresnejší odhad parametra v danom bode na základe meraní v ostatných bodoch bezdrôtovej siete. Na odhad hodnôt týchto nemerateľných veličín bude použitá neurónová sieť, ktorej neuróny sú umiestnené v jednotlivých uzloch WSN. Komunikácia medzi uzlami siete je založená na protokole LoRa, ktorý sa vyznačuje nízkou rýchlosťou a dlhým dosahom. Predpokladáme, že každý uzol siete je schopný komunikovať so všetkými ostatnými uzlami. Pri návrhu štruktúry neurónovej siete je potrebné brať do úvahy obmedzené výpočtové možnosti uzla a tiež nízku prenosovú kapacitu komunikačných liniek. <br>Spomenuté technické obmedzenia v konečnom dôsledku vedú k:<br>- snahe o zvyšovanie „inteligencie“ každého uzla siete pri súčasnej minimalizácii energetickej spotreby,<br>- snahe o minimalizovanie celkového objemu prenášaných dát.<br>Zdá sa perspektívne využiť na vývoj WSN doterajšie výsledky z teórie NS, tak aby WSN predstavovala NS s tým, že každý uzol siete bude reprezentovať neurón alebo zhluk neurónov.<br>;20.2.2018 12:45
Vypracovanie nových metód získavania znalostí a ich implementácia v systémoch inteligentnej podpory rozhodávania.;prof. Ing. Vitaly Levashenko, PhD.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;FALSE;základný výskum;Data Mining je nástroj zameraný na zber a analýzu dát a získavanie znalostí z dát. Ciele dizertačnej práce spočívajú vo vypracovaní teoretických a praktických základov tvorby nástrojov pre podporu rozhodovania založených na analýze fuzzy dát s využitím apriórnej informácie (napríklad, riešení úloh zhlukovania a klasifikácie). Pre dosiahnutie stanovených cieľov je nevyhnutné vyriešiť nasledujúce úlohy: (a) formulácia a výskum kritérií optimalizácie tvorby rozhodovacích stromov a pravidiel pre rôzne typy úloh s pomocou aparátu viachodnotovej logiky a fuzzy logiky, (b) porovnanie navrhnutých kritérií tvorby rozhodovacích pravidiel s výsledkami  získanými tradičnými metódami (algoritmy C4.5, CART, štatistické klasifikačné algoritmy, fuzzy rozhodovacie stromy Yuan a Shaw a iné), (c) syntéza nových algoritmov získavania znalostí z databáz a výpočtu spoľahlivosti, orientovaných na použite v systémoch pre podporu rozhodovania, (d) vypracovanie praktických odporúčaní v tvare konkrétnych metodík a softvéru pre použitie navrhnutých algoritmov pri riešení praktických úloh.;20.2.2018 14:16
Analýza spoľahlivosti a rizík zložitých systémov;prof. Ing. Elena Zaitseva, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;základný výskum;V súčasnosti stav a úroveň technológií prináša nové výzvy v oblasti rozvoja teórie spoľahlivosti. Súčasné systémy, vyžadujúce analýzu spoľahlivosti, majú zložitú štruktúru, sú nehomogénne vzhľadom na svoju fyzikálnu podstatu a tiež obsahujú komponenty s rozličnými procesmi zlyhania, degradácie a poruchy. Preto sa v teórii spoľahlivosti stávajú aktuálnymi úlohy výskumu zložitých a sociálno-technických systémov, napríklad systémov riadenia jadrovej elektrárne, systémov prepravy nafty a plynu či transportných systémov.<br>Existuje niekoľko rôznych matematických prístupov k riešeniu týchto úloh. Pre reálne systémy nie je dôležité iba určenie podmienok a pravdepodobnosti havárie, ale je dôležité tiež zistiť príčiny vedúce k havárii, analyzovať zmeny spoľahlivosti systému, berúc do úvahy niekoľko úrovní prevádzkyschopnosti. To je možné využitím takého systému, ktorého matematický model umožňuje modelovať niekoľko úrovní prevádzkyschopnosti (Multi-State System, MSS). Takýto model umožňuje použiť niekoľko úrovní prevádzkyschopnosti (spoľahlivosti) celého systému a jeho komponentov, pričom umožňuje podrobnejšie vykonať analýzu zmeny stavu skúmaného systému.<br>Jednou z aktuálnych úloh analýzy spoľahlivosti MSS je odhad pravdepodobnosti stavu (úrovne spoľahlivosti) systému v závislosti od stavu jeho komponentov. Tradične sa táto úloha vzťahuje k oblasti Importance Analysis  – oblasti teórie spoľahlivosti, ktorá určuje vplyv každého komponentu systému na úroveň jeho spoľahlivosti. V niektorých zdrojoch sa táto oblasť teórie spoľahlivosti nazýva tiež „výskum citlivosti MSS“. Odhad, určujúci pravdepodobnosť stavu systému pri niektorých zadaných podmienkach pre jeho komponenty sa nazýva Importance Measure (IM). <br>Cieľ práce spočíva vo vytvorení a rozvoji teoretických základov analýzy spoľahlivosti zložitých systémov, hlavne analýzy citlivosti spoľahlivosti systému vzhľadom k zmenám stavu jeho jedného alebo viacerých komponentov.<br>;20.2.2018 14:16
Vypracovanie nových metód získavania znalostí a ich implementácia v systémoch inteligentnej podpory rozhodovania;prof. Ing. Vitaly Levashenko, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;aplikovaný výskum a experimentálny vývoj;Data Mining je nástroj zameraný na zber a analýzu dát a získavanie znalostí z dát. Ciele dizertačnej práce spočívajú vo vypracovaní teoretických a praktických základov tvorby nástrojov pre podporu rozhodovania založených na analýze fuzzy dát s využitím apriórnej informácie (napríklad, riešení úloh zhlukovania a klasifikácie). Pre dosiahnutie stanovených cieľov je nevyhnutné vyriešiť nasledujúce úlohy: (a) formulácia a výskum kritérií optimalizácie tvorby rozhodovacích stromov a pravidiel pre rôzne typy úloh s pomocou aparátu viachodnotovej logiky a fuzzy logiky, (b) porovnanie navrhnutých kritérií tvorby rozhodovacích pravidiel s výsledkami získanými tradičnými metódami (algoritmy C4.5, CART, štatistické klasifikačné algoritmy, fuzzy rozhodovacie stromy Yuan a Shaw a iné), (c) syntéza nových algoritmov získavania znalostí z databáz a výpočtu spoľahlivosti, orientovaných na použitie v systémoch pre podporu rozhodovania, (d) vypracovanie praktických odporúčaní v tvare konkrétnych metodík a softvéru pre použitie navrhnutých algoritmov pri riešení praktických úloh.;20.2.2018 14:20
Hodnotenie vplyvu ľudského faktora na technické systémy;prof. Ing. Elena Zaitseva, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;aplikovaný výskum a experimentálny vývoj;Spoľahlivosť hardwaru bola zvýšená vďaka technologickému pokroku v rozsiahlych komplexných systémov ako sú jadrové elektrárne, lietadlá či ropné ťažobné závody. Avšak obrovské zlepšenie nenastalo v oblasti ľudskej spoľahlivosti pre fungovanie a spravovanie týchto komplexných systémov. Je všeobecne známe, že ľudia hrajú dôležitú úlohu v bezpečnej prevádzke komplexných priemyselných zariadení. Zníženie ľudskej chyby je jedným z hlavných záujmov pre zlepšovanie bezpečnosti a dostupnosti systému. Analýza ľudskej spoľahlivosti (Human Reliability Analysis - HRA) v rámci analýzy spoľahlivosti je pokusom modelovať a predpovedať dopad týchto interakcií na bezpečnosť ako spoľahlivosť systému.<br>Cieľom práce je rozvoj a výskum nových metód analýzy ľudskej spoľahlivosti na základe použitia matematického modelu viac-stavových systémov, hlavne analýzy citlivosti spoľahlivosti vzhľadom k vplyvu ľudského faktoru.<br><br>;20.2.2018 14:21
Nové trendy v riadení hodnoty pre zákazníkov malých a stredných podnikov prostredníctvom marketingových aktivít;doc. Ing. Michal Varmus, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;Najnovšie poznania v oblasti strategického marketingu malých a stredných podnikov na Slovensku naznačujú značné nedostatky v riadení marketingových aktivít.  Ide najmä o absentujúci strategický prístup v oblasti vytvárania hodnoty pre zákazníka, či využívaniu moderných IT technológií v rámci marketingových aktivít. Ako problematická sa následne javí konzistencia a kontinuita marketingových rozhodnutí v kontexte chápania hodnoty pre zákazníka. Kľúčom k riešeniu je model strategického riadenia hodnoty pre zákazníka, ktorý by zohľadňoval najnovšie trendy v skúmanej oblasti. <br>Úlohou riešenia je skúmanie všeobecných i  špecifických vplyvov strategického riadenia hodnoty pre zákazníka prostredníctvom marketingových aktivít a ich vplyv na podnik.<br>Cieľom riešenia je na základe spracovanej metodológie a navrhnutého modelu strategického riadenia hodnoty pre zákazníka a preukázať vhodnosť navrhovaných prístupov riadenia marketingových aktivít malých a stredných podnikov.;20.2.2018 14:56
Vyhodnocovanie kvality počítačového modelu ľudského tela;prof. Ing. Vitaly Levashenko, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;Informačné technológie zasahujú do všetkých oblastí ľudského života a často nachádzajú svoje uplatnenie v medicíne. Jedným z aktuálnych trendov v prepojovaní medicíny a informatiky je vývoj simulátorov, ktoré umožňujú nácvik komplexných medicínskych úkonov, akými je napríklad lokálna anestézia. Nevyhnutným predpokladom pre vývoj a používanie takýchto systémov je existencia kvalitných trojrozmerných počítačových modelov ľudského tela. <br>V hodnotení kvality počítačového modelu je nutné brať do úvahy množstvo faktorov. Medzi kľúčové faktory patria správny tvar, veľkosť a umiestnenie jednotlivých orgánov. Preto sa musia pred samotným hodnotením rozpoznať jednotlivé orgány v modeli a následne preskúmať ich vlastnosti. Za týmto účelom je nutné navrhnúť metódu, ktorá dokáže v trojrozmernom modeli rozpoznať jednotlivé objekty a podľa ich vlastností odhadnúť, o ktorý orgán sa jedná. Následne bude nutné detailne preskúmať vzájomné rozloženie jednotlivých orgánov a určiť, ktoré orgány vykazujú anomálie (napr. zasahovanie svalov do kostí, chýbajúce orgány, nevhodná veľkosť orgánu vzhľadom k ostatným orgánom). Nájdené anomálie by sa potom kvantitatívne ohodnotili. Z tohto ohodnotenie by sa vo výsledku vypočítala skupina ukazovateľov, pomocou ktorých by bolo možné rozhodnúť, či má daný model požadované vlastnosti. Tu je nutné zdôrazniť, že metóda pre hodnotenie kvality modelu ľudského tela musí zohľadňovať aj špecifiká úlohy, v ktorej sa má príslušný model použiť. Napr. pri simulácií lokálnej anestézie je dôležité správne rozmiestnenie ciev a nervov, zatiaľ čo presné polohy srdca, pľúc alebo jednotlivých zubov nie sú až také dôležité.<br>Cieľom práce je navrhnúť kvantitatívne ukazovatele a navrhnúť metódy ich výpočtov tak, aby bolo možné porovnať kvalitu rôznych modelov ľudského tela a pre danú úlohu vybrať ten, ktorý má najlepšie vlastnosti. <br><br>;20.2.2018 17:28
Nové prístupy k testovaniu softvéru;doc. Mgr. Ondrej Šuch, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;V praxi sa používajú dva diametrálne odlišné prístupy k testovaniu softvéru. Manuálne testovanie je používané najmä na overovanie aplikácií s GUI a komplexnou business logikou. Automatizované testovanie je používané pre serverovské aplikácie a regresné testovanie. S nástupom umelej inteligencie a nových programovacích platforiem je priestor vyvinúť efektívnejšie testovacie prístupy. To bude obsahom výskumu tejto práce.;20.2.2018 17:36
Lokalizácia vo vnútornom prostredí založená na spracovaní obrazu;prof. Ing. Martin Klimo, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Jednou z oblastí automatizácie, ktorá sa v súčasnosti teší rastúcemu záujmu v priemysle, je aj využitie automaticky navádzaných vozidiel (AGV – automated guided vehicle). Tie slúžia na presun materiálu vo výrobných halách a skladoch. Táto práca má prispieť k zlepšení možnosti lokalizácie AGV vo vnútornom prostredí pomocou spracovania obrazu. Vizuálne informácie z prostredia poskytujú unikátne informácie, ktoré môžu prispieť k jednoduchšiemu nasadeniu AGV systémov do praxe. <br>Lokalizácia vo vnútornom prostredí ma niekoľko špecifík, ktorým sa bude práca venovať:<br>- očakáva sa určitá znalosť tohto prostredia, napr. vo forme existencie 2D/3D modelu prostredia. Problémom je ale forma reprezentácia týchto znalostí a ich previazanie s vizuálnou informáciou získanou z kamier.<br>- šum v obrazových dátach zapríčinený dynamickým prostredím a teda existenciou statických a dynamických prekážok, ako aj dynamikou AGV (napr. otrasy). To spôsobuje stochastickú povahu pozorovaného prostredia.<br>;20.2.2018 18:33
Strojové učenie pri navrhovaní záchranných systémov evolučnými metaheuristikami ;prof. RNDr. Jaroslav Janáček, CSc.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;TRUE;aplikovaný výskum;Návrh územne rozľahlého robustného záchranného systému je NP-ťažká úloha podobajúca sa na úlohu o  p- centroch, resp. p-mediánov s viacerými kritérií a dodatočnými podmienkami, ktorej riešenie zvyčajne prekračuje možnosti komerčne dostupných solverov. Z tohto dôvodu sa do pozornosti informatickej komunity ako nádejné riešiace prostriedky pre úlohu návrhu záchranného systému dostávajú   metaheuristiky typu „Genetický algoritmus“ alebo „Scatter search“. Ako ukázali doterajšie experimenty s metaheuristikami, ich úspešnosť závisí od vhodného nastavenia parametrov týchto heuristík. V tejto práci sa predpokladá, že doktorand vykoná výskum učiacich sa metód na automatizované nastavenie parametrov metaheuristík riešiacich úlohy uvedených typov. Dizertačná práca má analyzovať možné adaptívne prístupy k nastavení parametrov, navrhnúť účinné algoritmy pre ich realizáciu, implementovať ich a vykonať výskum ich správania.;20.2.2018 19:06
Strojové učenie pri dimenzovaní obslužných systémov evolučnými metaheuristikami ;prof. RNDr. Jaroslav Janáček, CSc.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;TRUE;aplikovaný výskum;Predpokladaný projekt skúma, ako rôzne modely dôsledkov rozdelenia obmedzeného počtu náležitostí medzi obslužné strediská vplývajú na kvalitu výsledného návrhu obslužného systému. Návrh obslužného systému v tomto projekte pozostáva jednak z rozmiestnenia stredísk v obsluhovanej oblasti a súčasne aj z dimenzovania ich kapacít počtom pridelených náležitostí. Kvalita návrhu obslužného systému môže byť posudzovaná podľa niekoľkých kritérií. Z tohto dôvodu sa do pozornosti informatickej komunity ako nádejné riešiace prostriedky pre úlohu návrhu záchranného systému dostávajú hybridné verzie vývojových metaheuristík („Genetický algoritmus“ alebo „Scatter search“). Ako ukázali doterajšie experimenty s metaheuristikami, ich úspešnosť pri riešení zložitejších problémov závisí od vhodného nastavenia parametrov týchto heuristík. V tejto práci sa predpokladá, že doktorand vykoná výskum učiacich sa metód na automatizované nastavenie parametrov metaheuristík riešiacich úlohy uvedeného typu. Dizertačná práca má analyzovať možné adaptívne prístupy k nastavení parametrov, navrhnúť účinné algoritmy pre ich realizáciu, implementovať ich a vykonať výskum ich správania.<br><br>;20.2.2018 19:19
Efektívne algoritmy pre návrh siete nabíjacej infraštruktúry elektrovozidiel vo verejnej doprave;doc. Ing. Michal Koháni, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum;V ére inteligentných miest a inteligentných dopravných systémov sa značná pozornosť sústreďuje aj na oblasť verejnej dopravy. Cieľom je verejnú dopravu zatraktívniť, ale zároveň aj znížiť jej vplyv na ekologickú záťaž v rámci miest. Okrem tradičných dopravných prostriedkov sa značnej popularite tešia aj elektrobusy, s ktorými súvisia úlohy týkajúce sa výberu vhodnej technológie a tiež aj samotné rozmiestňovanie infraštruktúry pre vybranú technológiu elektrobusov. V našom prípade sa budeme venovať rozmiestneniu infraštruktúry pre vozidlá s pohonom na batérie, resp. superkapacitory, ktoré sú dobíjané priebežne buď v priebehu technologických prestávok, alebo priebežným dobíjaním počas prevádzky (manuálne alebo automatické pripojenie k zdroju energie, indukčné nabíjanie). Návrh takejto infraštruktúry vedie k riešeniu umiestňovacích úloh s pomerne zložitou štruktúrou obmedzujúcich podmienok. Už aj najjednoduchšia formulácia umiestňovacej úlohy zvyčajne patrí medzi NP - ťažké úlohy.<br>Cieľom práce bude na základe analýzy vstupných dát a vybranej technológie navrhnúť matematický model návrhu infraštruktúry pre elektrické vozidlá vo verejnej doprave zohľadňujúci rôzne špecifické podmienky súvisiace s verejnou dopravou. Pre vytvorený model bude potrebné nájsť vhodné riešiace algoritmy, ktoré budú založené na metódach riešiacich úlohy celočíselného programovania. Dosiahnuté výsledky experimentov bude potrebné overiť pomocou simulačného modelu.<br>Ako dátové vstupy pre riešenie úloh súvisiacich s použitím elektrobusov vo verejnej doprave použijeme dostupné údaje o sieti verejnej dopravy, odhady tokov cestujúcich (na základe neúplných vstupných dát o nástupoch cestujúcich), cestovné poriadky a plány rozvoja MHD. Ďalej využijeme aj dostupné geografické dáta (dáta zakúpené počas predchádzajúcich výskumných projektov, dáta zo systému OpenStreetMap spracované v rámci projektu VEGA 1/0339/13).;20.2.2018 21:54
Efektívne algoritmy pre návrh siete nabíjacej infraštruktúry elektrovozidiel vo verejnej doprave;doc. Ing. Michal Koháni, PhD.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;TRUE;aplikovaný výskum;V ére inteligentných miest a inteligentných dopravných systémov sa značná pozornosť sústreďuje aj na oblasť verejnej dopravy. Cieľom je verejnú dopravu zatraktívniť, ale zároveň aj znížiť jej vplyv na ekologickú záťaž v rámci miest. Okrem tradičných dopravných prostriedkov sa značnej popularite tešia aj elektrobusy, s ktorými súvisia úlohy týkajúce sa výberu vhodnej technológie a tiež aj samotné rozmiestňovanie infraštruktúry pre vybranú technológiu elektrobusov. V našom prípade sa budeme venovať rozmiestneniu infraštruktúry pre vozidlá s pohonom na batérie, resp. superkapacitory, ktoré sú dobíjané priebežne buď v priebehu technologických prestávok, alebo priebežným dobíjaním počas prevádzky (manuálne alebo automatické pripojenie k zdroju energie, indukčné nabíjanie). Návrh takejto infraštruktúry vedie k riešeniu umiestňovacích úloh s pomerne zložitou štruktúrou obmedzujúcich podmienok. Už aj najjednoduchšia formulácia umiestňovacej úlohy zvyčajne patrí medzi NP - ťažké úlohy.<br>Cieľom práce bude na základe analýzy vstupných dát a vybranej technológie navrhnúť matematický model návrhu infraštruktúry pre elektrické vozidlá vo verejnej doprave zohľadňujúci rôzne špecifické podmienky súvisiace s verejnou dopravou. Pre vytvorený model bude potrebné nájsť vhodné riešiace algoritmy, ktoré budú založené na metódach riešiacich úlohy celočíselného programovania. Dosiahnuté výsledky experimentov bude potrebné overiť pomocou simulačného modelu.<br>Ako dátové vstupy pre riešenie úloh súvisiacich s použitím elektrobusov vo verejnej doprave použijeme dostupné údaje o sieti verejnej dopravy, odhady tokov cestujúcich (na základe neúplných vstupných dát o nástupoch cestujúcich), cestovné poriadky a plány rozvoja MHD. Ďalej využijeme aj dostupné geografické dáta (dáta zakúpené počas predchádzajúcich výskumných projektov, dáta zo systému OpenStreetMap spracované v rámci projektu VEGA 1/0339/13).;20.2.2018 21:57
Integrovaný inovačný manažment v podniku;doc. Ing. Viliam Lendel, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;V dnešnej dobe sú podniky vystavené výzve na vývoj produktov alebo služieb s vysokým stupňom novosti a zložitosti. Neustále sa meniace požiadavky trhu a dynamika napredovania technológií ešte viac zvyšujú komplikovanosť inovačného procesu, najmä jeho počiatočných štádií. Riadenie inovácií je preto sprevádzané veľkou neistotou, ktorá sa musí identifikovať, monitorovať a riadiť v priebehu rôznych etáp a činností pozdĺž inovačného procesu. Manažéri podnikov nevyužívajú dostatočne metódy a nástroje inovačného manažmentu a preto sa často stretávajú s ťažkosťami pri riešení neistôt, konfliktov, motivácie, plánovania i organizácie v rámci zabezpečenia efektívneho inovačného procesu. V mnohých prípadoch sú hlavnými príčinami nízke odborné znalosti pri uplatňovaní týchto metód v priebehu riadenia inovácií alebo podcenenie ich potenciálnej hodnoty. Cieľom integrovaného inovačného manažmentu je práve zaručiť inovačnú schopnosť podniku, t. j. vytvoriť rámec inovačných aktivít, ktorú sú úzko viazané na identifikáciu, analýzu a riešenie problémov pri tvorbe inovácií. Podnik musí mať schopnosť vytvárať nové nápady pomocou nových poznatkov alebo chápania trhu a úspešne ich realizovať a umiestňovať na trh.<br>Predmetom výskumu riešenia bude analýza a rozbor súčasných prístupov k riadeniu inovácií so zameraním sa na integrovaný prístup, miery využívania jednotlivých metód inovačného manažmentu, skúmanie jednotlivých prvkov integrovaného inovačného manažmentu a ich vplyvu na dosahovanú inovačnú schopnosť podniku. <br>Cieľom riešenia je skúmanie prvkov a ich súvislostí v integrovanom inovačnom manažmente pri zabezpečovaní inovačnej schopnosti podniku. Výstupom riešenia bude podrobne vypracovaný rámec integrovaného inovačného manažmentu umožňujúci podniku naplno využiť jeho inovačný potenciál.<br>;20.2.2018 23:59
Strojové učenie pri navrhovaní záchranných systémov evolučnými metaheuristikami ;prof. RNDr. Jaroslav Janáček, CSc.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum;Návrh územne rozľahlého robustného záchranného systému je NP-ťažká úloha podobajúca sa na úlohu o  p- centroch, resp. p-mediánov s viacerými kritérií a dodatočnými podmienkami, ktorej riešenie zvyčajne prekračuje možnosti komerčne dostupných solverov. Z tohto dôvodu sa do pozornosti informatickej komunity ako nádejné riešiace prostriedky pre úlohu návrhu záchranného systému dostávajú   metaheuristiky typu „Genetický algoritmus“ alebo „Scatter search“. Ako ukázali doterajšie experimenty s metaheuristikami, ich úspešnosť závisí od vhodného nastavenia parametrov týchto heuristík. V tejto práci sa predpokladá, že doktorand vykoná výskum učiacich sa metód na automatizované nastavenie parametrov metaheuristík riešiacich úlohy uvedených typov. <br>Dizertačná práca má analyzovať možné adaptívne prístupy k nastavení parametrov, navrhnúť účinné algoritmy pre ich realizáciu, implementovať ich a vykonať výskum ich správania.;21.2.2018 9:04
Strojové učenie pri dimenzovaní obslužných systémov evolučnými metaheuristikami ;prof. RNDr. Jaroslav Janáček, CSc.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum;Predpokladaný projekt skúma, ako rôzne modely dôsledkov rozdelenia obmedzeného počtu náležitostí medzi obslužné strediská vplývajú na kvalitu výsledného návrhu obslužného systému. Návrh obslužného systému v tomto projekte pozostáva jednak z rozmiestnenia stredísk v obsluhovanej oblasti a súčasne aj z dimenzovania ich kapacít počtom pridelených náležitostí. Kvalita návrhu obslužného systému môže byť posudzovaná podľa niekoľkých kritérií. Z tohto dôvodu sa do pozornosti informatickej komunity ako nádejné riešiace prostriedky pre úlohu návrhu záchranného systému dostávajú hybridné verzie vývojových metaheuristík („Genetický algoritmus“ alebo „Scatter search“). Ako ukázali doterajšie experimenty s metaheuristikami, ich úspešnosť pri riešení zložitejších problémov závisí od vhodného nastavenia parametrov týchto heuristík. V tejto práci sa predpokladá, že doktorand vykoná výskum učiacich sa metód na automatizované nastavenie parametrov metaheuristík riešiacich úlohy uvedeného typu. <br>Dizertačná práca má analyzovať možné adaptívne prístupy k nastavení parametrov, navrhnúť účinné algoritmy pre ich realizáciu, implementovať ich a vykonať výskum ich správania.<br><br>;21.2.2018 9:10
